cylinders,displacement,drive,gas,make,model,transmission,city,highway,type,year
4,2,Rear-Wheel Drive,Premium,BMW,330i,Automatic,33.8869,51.8669,Compact,2020
6,3,All-Wheel Drive,Premium,BMW,M340i xDrive,Automatic,27.6511,43.183,Compact,2020
6,3,Rear-Wheel Drive,Premium,BMW,M340i,Automatic,28.1716,42.5641,Compact,2020
4,2,Rear-Wheel Drive,Premium,BMW,430i Coupe,Automatic,29.6733,49.5795,Compact,2020
4,2,Rear-Wheel Drive,Premium,BMW,430i Coupe,Automatic,26.901,48.1992,Compact,2020
4,2,All-Wheel Drive,Premium,BMW,430i xDrive Coupe,Automatic,26.5245,43.9223,Compact,2020
4,2,Rear-Wheel Drive,Premium,BMW,430i Gran Coupe,Automatic,29.6733,49.5795,Compact,2020
4,2,All-Wheel Drive,Premium,BMW,430i xDrive Gran Coupe,Automatic,26.5245,43.9223,Compact,2020
6,3,Rear-Wheel Drive,Premium,BMW,440i Coupe,Automatic,28.1716,42.5641,Compact,2020
6,3,Rear-Wheel Drive,Premium,BMW,440i Coupe,Automatic,23.3119,38.5195,Compact,2020
6,3,All-Wheel Drive,Premium,BMW,440i xDrive Coupe,Automatic,27.6511,43.183,Compact,2020
6,3,All-Wheel Drive,Premium,BMW,440i xDrive Coupe,Automatic,22.7,39.2527,Compact,2020
6,3,Rear-Wheel Drive,Premium,BMW,440i Gran Coupe,Automatic,28.1716,42.5641,Compact,2020
6,3,All-Wheel Drive,Premium,BMW,440i xDrive Gran Coupe,Automatic,27.6511,43.183,Compact,2020
6,3,Rear-Wheel Drive,Premium,BMW,M4 Coupe,Automatic,21.9429,34.6144,Compact,2020
6,3,Rear-Wheel Drive,Premium,BMW,M4 Coupe,Automatic,20.5456,31.6463,Compact,2020
6,3,Rear-Wheel Drive,Premium,BMW,M4 CS,Automatic,20.5456,31.6463,Compact,2020
6,3,Rear-Wheel Drive,Premium,BMW,M4 Coupe Competition,Automatic,21.9429,34.6144,Compact,2020
6,3,Rear-Wheel Drive,Premium,BMW,M4 Coupe Competition,Automatic,20.5456,31.6463,Compact,2020
4,2,All-Wheel Drive,Premium,BMW,330i xDrive,Automatic,31.9282,49.7691,Compact,2020
6,3,4-Wheel Drive,Premium,Mercedes-Benz,AMG CLS53 4matic Plus,Automatic,26.8,38.5,Compact,2020
6,3,Rear-Wheel Drive,Premium,Mercedes-Benz,CLS450,Automatic,30.7,43.9,Compact,2020
6,3,4-Wheel Drive,Premium,Mercedes-Benz,CLS450 4matic,Automatic,29.7,42.7,Compact,2020
6,3,4-Wheel Drive,Premium,Mercedes-Benz,AMG GT 53 4matic Plus,Automatic,23.9,33.6,Compact,2020
4,2,4-Wheel Drive,Premium,Mercedes-Benz,C300 4matic,Automatic,28.7969,47.4966,Compact,2020
4,2,Rear-Wheel Drive,Premium,Mercedes-Benz,C300,Automatic,31,50.7,Compact,2020
4,2,4-Wheel Drive,Premium,Mercedes-Benz,CLA250 4matic,Automatic,29.9,47.6,Compact,2020
4,2,Front-Wheel Drive,Premium,Mercedes-Benz,CLA250,Automatic,31.7,51.5,Compact,2020
4,2,Rear-Wheel Drive,Hybrid,BMW,530e,Automatic,33.6,43.8,Compact,2020
4,2,All-Wheel Drive,Hybrid,BMW,530e xDrive,Automatic,31.6,41.7,Compact,2020
8,4,4-Wheel Drive,Premium,Mercedes-Benz,AMG GT 63 4matic Plus,Automatic,18.8,28.3,Compact,2020
8,4,4-Wheel Drive,Premium,Mercedes-Benz,AMG GT 63 S 4matic Plus,Automatic,18.7,28.3,Compact,2020
8,4,4-Wheel Drive,Premium,Mercedes-Benz,S560 4matic Coupe,Automatic,21,37.2,Compact,2020
8,4,4-Wheel Drive,Premium,Mercedes-Benz,AMG S63 4matic Plus Coupe,Automatic,21,38.2,Compact,2020
4,2,Front-Wheel Drive,Premium,Audi,A4,Automatic,35.1,50.5982,Compact,2020
6,3,All-Wheel Drive,Premium,Audi,S4,Automatic,25.2451,37.656,Compact,2020
8,4,Rear-Wheel Drive,Premium,Mercedes-Benz,AMG C63,Automatic,22.2,38.2,Compact,2020
8,4,Rear-Wheel Drive,Premium,Mercedes-Benz,AMG C63 S,Automatic,22.2,38.2,Compact,2020
6,3,4-Wheel Drive,Premium,Mercedes-Benz,AMG C43 4matic,Automatic,23.8,38.5,Compact,2020
4,2,All-Wheel Drive,Premium,Audi,A4 quattro,Automatic,29.851,45.7135,Compact,2020
4,2,4-Wheel Drive,Premium,Mercedes-Benz,AMG CLA35 4matic,Automatic,29,41.1,Compact,2020
4,2,All-Wheel Drive,Premium,BMW,228i xDrive Gran Coupe,Automatic,29.5981,47.5272,Compact,2020
4,2,All-Wheel Drive,Premium,BMW,M235i xDrive,Automatic,29.1153,46.2643,Compact,2020
4,2,Rear-Wheel Drive,Hybrid,BMW,330e,Automatic,33.5,46,Compact,2021
4,2,All-Wheel Drive,Hybrid,BMW,330e xDrive,Automatic,30.7,43.5,Compact,2021
4,2,4-Wheel Drive,Premium,Mercedes-Benz,AMG CLA45 4matic,Automatic,25.4,41.1,Compact,2020
4,2,All-Wheel Drive,Premium,BMW,228i xDrive Gran Coupe,Automatic,29.494,47.0499,Compact,2021
4,2,All-Wheel Drive,Premium,BMW,M235i xDrive Gran Coupe,Automatic,29.1153,46.2643,Compact,2021
6,3,Rear-Wheel Drive,Premium,BMW,M340i,Automatic,29.8862,45.4686,Compact,2021
6,3,All-Wheel Drive,Premium,BMW,M340i xDrive,Automatic,28.531,43.9383,Compact,2021
4,2,4-Wheel Drive,Premium,Mercedes-Benz,AMG CLA35 4matic,Automatic,28.1,41.1,Compact,2021
4,2,4-Wheel Drive,Premium,Mercedes-Benz,CLA250 4matic,Automatic,30.8,48.3,Compact,2021
4,2,Front-Wheel Drive,Premium,Mercedes-Benz,CLA250,Automatic,32.9,51.1,Compact,2021
6,3,All-Wheel Drive,Premium,Audi,S4,Automatic,25.8666,39.6776,Compact,2021
4,2,Rear-Wheel Drive,Premium,BMW,330i,Automatic,33.902,51.8932,Compact,2021
4,2,All-Wheel Drive,Premium,BMW,330i xDrive,Automatic,31.9277,49.8067,Compact,2021
4,2,All-Wheel Drive,Premium,Audi,A4 S line quattro,Automatic,30.9018,44.183,Compact,2021
6,3,Rear-Wheel Drive,Premium,Mercedes-Benz,CLS450,Automatic,29.1,43.4,Compact,2021
6,3,4-Wheel Drive,Premium,Mercedes-Benz,CLS450 4matic,Automatic,28.6,41.2,Compact,2021
4,2,All-Wheel Drive,Premium,Audi,A4 quattro,Automatic,32.5601,48.8284,Compact,2021
4,2,4-Wheel Drive,Premium,Mercedes-Benz,C300 4matic,Automatic,30,48.3,Compact,2021
6,3,4-Wheel Drive,Premium,Mercedes-Benz,AMG CLS53 4matic Plus,Automatic,26.3,36.9,Compact,2021
6,3,4-Wheel Drive,Premium,Mercedes-Benz,AMG GT 43 4matic Plus,Automatic,24.9,34.6,Compact,2021
6,3,4-Wheel Drive,Premium,Mercedes-Benz,AMG GT 53 4matic Plus,Automatic,24.9,34.6,Compact,2021
4,2,Rear-Wheel Drive,Premium,Mercedes-Benz,C300,Automatic,29.9,50.8,Compact,2021
8,4,Rear-Wheel Drive,Premium,Mercedes-Benz,AMG C63,Automatic,21.7,37.4,Compact,2021
8,4,Rear-Wheel Drive,Premium,Mercedes-Benz,AMG C63 S,Automatic,21.7,37.4,Compact,2021
8,4,4-Wheel Drive,Premium,Mercedes-Benz,S560 4matic Coupe,Automatic,20.2,36.8,Compact,2021
8,4,4-Wheel Drive,Premium,Mercedes-Benz,AMG S63 4matic Plus Coupe,Automatic,19.3,36.1,Compact,2021
6,3,4-Wheel Drive,Premium,Mercedes-Benz,AMG C43 4matic,Automatic,21.9,38.2,Compact,2021
8,4,4-Wheel Drive,Premium,Mercedes-Benz,AMG GT 63 S 4matic Plus,Automatic,19.3,29.5,Compact,2021
4,2,Front-Wheel Drive,Premium,BMW,228i Gran Coupe,Automatic,31.0634,48.3091,Compact,2021
6,3,Rear-Wheel Drive,Premium,BMW,M3,Automatic,19.8955,32.4972,Compact,2021
6,3,Rear-Wheel Drive,Premium,BMW,M3 Competition,Automatic,20.182,32.0616,Compact,2021
4,2,4-Wheel Drive,Premium,Mercedes-Benz,AMG CLA45 4matic,Automatic,24.7,40.6,Compact,2021
8,4,4-Wheel Drive,Premium,Mercedes-Benz,AMG GT 63 4matic Plus,Automatic,19.3,29.5,Compact,2021
4,2,Rear-Wheel Drive,Hybrid,BMW,530e,Automatic,32.2,41.8,Compact,2021
4,2,All-Wheel Drive,Hybrid,BMW,530e xDrive,Automatic,29.5,40.5,Compact,2021
4,2,All-Wheel Drive,Premium,Audi,A4 quattro,Automatic,33.3267,49.0024,Compact,2022
4,2,All-Wheel Drive,Premium,Audi,A4 S line quattro,Automatic,30.8498,44.2667,Compact,2022
6,3,4-Wheel Drive,Premium,Audi,S4,Automatic,26.6615,39.7738,Compact,2022
4,2,All-Wheel Drive,Premium,BMW,228i xDrive Gran Coupe,Automatic,29.6695,47.8577,Compact,2022
4,2,Front-Wheel Drive,Premium,BMW,228i Gran Coupe,Automatic,31.4485,49.9723,Compact,2022
4,2,Rear-Wheel Drive,Premium,BMW,330i Sedan,Automatic,33.9488,51.905,Compact,2022
4,2,All-Wheel Drive,Premium,BMW,330i xDrive Sedan,Automatic,31.863,49.5982,Compact,2022
6,3,Rear-Wheel Drive,Premium,BMW,M3 Sedan,Automatic,19.8955,32.4972,Compact,2022
6,3,Rear-Wheel Drive,Premium,BMW,M3 Competition Sedan,Automatic,20.182,32.0616,Compact,2022
6,3,All-Wheel Drive,Premium,BMW,M440i xDrive Gran Coupe,Automatic,27.4,42.1,Compact,2022
4,2,All-Wheel Drive,Premium,BMW,M235i xDrive Gran Coupe,Automatic,29.1675,46.776,Compact,2022
6,3,Rear-Wheel Drive,Premium,BMW,M340i Sedan,Automatic,29.8849,45.4357,Compact,2022
6,3,All-Wheel Drive,Premium,BMW,M340i xDrive Sedan,Automatic,29.2053,45.3931,Compact,2022
6,3,All-Wheel Drive,Premium,BMW,M3 Competition M xDrive Sedan,Automatic,20.055,31.2954,Compact,2022
4,2,Rear-Wheel Drive,Premium,BMW,430i Gran Coupe,Automatic,32.0246,49.2015,Compact,2022
4,2,All-Wheel Drive,Premium,Mercedes-Benz,CLA250 4matic,Automatic,30.8,48.4,Compact,2022
4,2,Front-Wheel Drive,Premium,Mercedes-Benz,CLA250,Automatic,31.9,52.1,Compact,2022
6,3,4-Wheel Drive,Premium,Mercedes-Benz,CLS450 4matic,Automatic,28,42.2,Compact,2022
